7.560	11.560	1
11.560	26.700	2
26.700	42.640	3
42.640	58.980	4
58.980	72.600	5
72.600	87.560	6
87.560	96.420	7
96.420	118.720	8
118.720	130.260	9
130.260	143.940	10
143.940	155.900	11
155.900	174.920	12
174.920	191.700	13
191.700	204.440	14
204.440	218.800	15
218.800	234.620	16
234.620	249.960	17
